"name","category","region","type","affiliated_with","designation_sources","page","type_1","type_2","description"
"Rowan County Militia","Militarized Social Movement",NA,NA,NA,NA,56,"orgs","militarized","Armed Militia Group"
"Ruffneck Resistance","Militarized Social Movement",NA,NA,NA,NA,56,"orgs","militarized","Armed Militia Group"
"SC Militia","Militarized Social Movement",NA,NA,NA,NA,56,"orgs","militarized","Armed Militia Group"
"SC Patriot Reserve","Militarized Social Movement",NA,NA,NA,NA,56,"orgs","militarized","Armed Militia Group"
"SEK Militia","Militarized Social Movement",NA,NA,NA,NA,56,"orgs","militarized","Armed Militia Group"
"SEMO Militia","Militarized Social Movement",NA,NA,NA,NA,56,"orgs","militarized","Armed Militia Group"
"SHTF Militia","Militarized Social Movement",NA,NA,NA,NA,57,"orgs","militarized","Armed Militia Group"
"SLO County Militia","Militarized Social Movement",NA,NA,NA,NA,57,"orgs","militarized","Armed Militia Group"
"SMVM Jackson County","Militarized Social Movement",NA,NA,NA,NA,57,"orgs","militarized","self proclaimed"
"SPC Tri-County Militia","Militarized Social Movement",NA,NA,NA,NA,57,"orgs","militarized",""
"SW Missouri Militia","Militarized Social Movement",NA,NA,NA,NA,57,"orgs","militarized","Armed Militia Group"
"Saginaw Valley Volunteer Militia","Militarized Social Movement",NA,NA,NA,NA,57,"orgs","militarized","Armed Militia Group"
"San Diego County Militia","Militarized Social Movement",NA,NA,NA,NA,57,"orgs","militarized","Armed Militia Group"
"Sanilac County Militia","Militarized Social Movement",NA,NA,NA,NA,57,"orgs","militarized",""
"Sc Citizens Response Team","Militarized Social Movement",NA,NA,NA,NA,57,"orgs","militarized","Armed Militia Group"
"Seattle Antifascist Action","Militarized Social Movement",NA,NA,NA,NA,57,"orgs","militarized","Armed Militia Group"
"Section-Eight Militia","Militarized Social Movement",NA,NA,NA,NA,57,"orgs","militarized",""
"Sedgwick County Militia","Militarized Social Movement",NA,NA,NA,NA,57,"orgs","militarized","Armed Militia Group"
"Sentinels Militia","Militarized Social Movement",NA,NA,NA,NA,57,"orgs","militarized",""
"Shasta County 2A Militia","Militarized Social Movement",NA,NA,NA,NA,57,"orgs","militarized",""
"Shenandoah Militia","Militarized Social Movement",NA,NA,NA,NA,57,"orgs","militarized","Armed Militia Group"
"Silverton Militia","Militarized Social Movement",NA,NA,NA,NA,57,"orgs","militarized","Armed Militia Group"
"Sisters of Liberty Militia","Militarized Social Movement",NA,NA,NA,NA,57,"orgs","militarized","Armed Militia Group"
"Sleeping Giant Patriots","Militarized Social Movement",NA,NA,NA,NA,57,"orgs","militarized","Armed Militia Group"
"Smokey Mountain Militia","Militarized Social Movement",NA,NA,NA,NA,57,"orgs","militarized","Armed Militia Group"
"Snapperhead (251)","Militarized Social Movement",NA,NA,NA,NA,57,"orgs","militarized","Armed Militia Group"
"Snohomish County Local Militia","Militarized Social Movement",NA,NA,NA,NA,57,"orgs","militarized",""
"Social Militia Against Secret Tyranny","Militarized Social Movement",NA,NA,NA,NA,57,"orgs","militarized","Armed Militia Group"
"Solidarity And Direct Action","Militarized Social Movement",NA,NA,NA,NA,57,"orgs","militarized","Armed Militia Group"
"Sonoma County Militia","Militarized Social Movement",NA,NA,NA,NA,57,"orgs","militarized",""
"Sons of Liberty Militia","Militarized Social Movement",NA,NA,NA,NA,57,"orgs","militarized","Armed Militia Group"
"Sons of Mayhem Militia","Militarized Social Movement",NA,NA,NA,NA,57,"orgs","militarized","Armed Militia Group"
"Sons of Philippines Armed Militia","Militarized Social Movement",NA,NA,NA,NA,57,"orgs","militarized","Armed Militia Group"
"Sons Of The Forefathers Militia","Militarized Social Movement",NA,NA,NA,NA,57,"orgs","militarized","Armed Militia Group"
"South Carolina Civilian Defense Force","Militarized Social Movement",NA,NA,NA,NA,57,"orgs","militarized","self proclaimed"
"South Carolina Militia Guard","Militarized Social Movement",NA,NA,NA,NA,57,"orgs","militarized","Armed Militia Group"
"South Carolina Revolution","Militarized Social Movement",NA,NA,NA,NA,57,"orgs","militarized","Armed Militia Group"
"South Carolina State Militia","Militarized Social Movement",NA,NA,NA,NA,57,"orgs","militarized","Armed Militia Group"
"South Central TN Militia","Militarized Social Movement",NA,NA,NA,NA,57,"orgs","militarized","Armed Militia Group"
"South Kentucky Tactical Militia","Militarized Social Movement",NA,NA,NA,NA,57,"orgs","militarized","Armed Militia Group"
"South Philly Militia","Militarized Social Movement",NA,NA,NA,NA,57,"orgs","militarized","Armed Militia Group"
"Southeast Georgia Militia","Militarized Social Movement",NA,NA,NA,NA,57,"orgs","militarized","Armed Militia Group"
"Southeastern Kentucky Militia","Militarized Social Movement",NA,NA,NA,NA,57,"orgs","militarized","Armed Militia Group"
"Southeastern Oklahoma Citizen Organized Militia","Militarized Social Movement",NA,NA,NA,NA,57,"orgs","militarized","Armed Militia Group"
"Southern Armageddon Militia","Militarized Social Movement",NA,NA,NA,NA,57,"orgs","militarized","Armed Militia Group"
"Southern Brotherhood Militia","Militarized Social Movement",NA,NA,NA,NA,57,"orgs","militarized","Armed Militia Group"
"Southern Front Militia","Militarized Social Movement",NA,NA,NA,NA,57,"orgs","militarized","Armed Militia Group"
"Southern Idaho New Continental Army Militia","Militarized Social Movement",NA,NA,NA,NA,57,"orgs","militarized","Armed Militia Group"
"Southern Militia","Militarized Social Movement",NA,NA,NA,NA,57,"orgs","militarized","Armed Militia Group"
"Southern Patriot Defenders","Militarized Social Movement",NA,NA,NA,NA,57,"orgs","militarized","Armed Militia Group"
"Southern Pride Militia","Militarized Social Movement",NA,NA,NA,NA,57,"orgs","militarized","Armed Militia Group"
"Southern Recon Militia","Militarized Social Movement",NA,NA,NA,NA,58,"orgs","militarized","Armed Militia Group"
"Southern Smoke Militia","Militarized Social Movement",NA,NA,NA,NA,58,"orgs","militarized",""
"Southwestin Militia","Militarized Social Movement",NA,NA,NA,NA,58,"orgs","militarized",""
"Spotsylvania 1st Battalion","Militarized Social Movement",NA,NA,NA,NA,58,"orgs","militarized","Armed Militia Group"
"St. Francois/Washington Co. Citizen Militia","Militarized Social Movement",NA,NA,NA,NA,58,"orgs","militarized","Armed Militia Group"
"St. Lawrence County Militia","Militarized Social Movement",NA,NA,NA,NA,58,"orgs","militarized",""
"Star City Militia","Militarized Social Movement",NA,NA,NA,NA,58,"orgs","militarized","Armed Militia Group"
"Stokes County Militia","Militarized Social Movement",NA,NA,NA,NA,58,"orgs","militarized","Armed Militia Group"
"Stoney Creek Detachment","Militarized Social Movement",NA,NA,NA,NA,58,"orgs","militarized","Armed Militia Group"
"Stoney Creek Militia","Militarized Social Movement",NA,NA,NA,NA,58,"orgs","militarized","Armed Militia Group"
"Suffolk County Militia","Militarized Social Movement",NA,NA,NA,NA,58,"orgs","militarized",""
"Surry County Citizens Militia","Militarized Social Movement",NA,NA,NA,NA,58,"orgs","militarized","Armed Militia Group"
"Swamp Rats American Original Militia","Militarized Social Movement",NA,NA,NA,NA,58,"orgs","militarized","Armed Militia Group"
"T2AR Militia","Militarized Social Movement",NA,NA,NA,NA,58,"orgs","militarized","Armed Militia Group"
"Texas Freedom Militia","Militarized Social Movement",NA,NA,NA,NA,58,"orgs","militarized",""
"TX Scout Reconnaissance Group","Militarized Social Movement",NA,NA,NA,NA,58,"orgs","militarized","self proclaimed militia group"
"TX State Guardians","Militarized Social Movement",NA,NA,NA,NA,58,"orgs","militarized","self proclaimed"
"TYBS Militia","Militarized Social Movement",NA,NA,NA,NA,58,"orgs","militarized","Armed Militia Group"
"Tactical Freedom Militia","Militarized Social Movement",NA,NA,NA,NA,58,"orgs","militarized","Armed Militia Group"
"Take America Back Texas","Militarized Social Movement",NA,NA,NA,NA,58,"orgs","militarized",""
"Take Back America-Iowa","Militarized Social Movement",NA,NA,NA,NA,58,"orgs","militarized","Armed Militia Group"
"Taylor County","Militarized Social Movement",NA,NA,NA,NA,58,"orgs","militarized",""
"Tenn State Militia","Militarized Social Movement",NA,NA,NA,NA,58,"orgs","militarized","Armed Militia Group"
"Tennessee Hamilton County Militia (THCM)","Militarized Social Movement",NA,NA,NA,NA,58,"orgs","militarized",""
"Tennessee Militia Network","Militarized Social Movement",NA,NA,NA,NA,58,"orgs","militarized","Armed Militia Group"
"Tennessee Mountain Rangers","Militarized Social Movement",NA,NA,NA,NA,58,"orgs","militarized","3 percenter group"
"Tennessee Patriots Militia","Militarized Social Movement",NA,NA,NA,NA,58,"orgs","militarized",""
"Tennessee Volunteer Militia","Militarized Social Movement",NA,NA,NA,NA,58,"orgs","militarized","Armed Militia Group"
"Terrorist Resistance Militia","Militarized Social Movement",NA,NA,NA,NA,58,"orgs","militarized","Armed Militia Group"
"Texas 2A Support/Response Team - Riot/Looting Prevention","Militarized Social Movement",NA,NA,NA,NA,58,"orgs","militarized","Armed Militia Group"
"Texas Citizens Militia","Militarized Social Movement",NA,NA,NA,NA,58,"orgs","militarized","Armed Militia Group"
"Texas Civil Defense Militia","Militarized Social Movement",NA,NA,NA,NA,58,"orgs","militarized","Armed Militia Group"
"Texas Conrads","Militarized Social Movement",NA,NA,NA,NA,58,"orgs","militarized","Armed Militia Group"
"Texas Defence Group","Militarized Social Movement",NA,NA,NA,NA,58,"orgs","militarized","self proclaimed"
"Texas Freedom Fighters Militia","Militarized Social Movement",NA,NA,NA,NA,58,"orgs","militarized","Armed Militia Group"
"Texas Guerrillas Militia","Militarized Social Movement",NA,NA,NA,NA,58,"orgs","militarized","Armed Militia Group"
"Texas Militia","Militarized Social Movement",NA,NA,NA,NA,58,"orgs","militarized",""
"Texas Outlaw Militia","Militarized Social Movement",NA,NA,NA,NA,58,"orgs","militarized","Armed Militia Group"
"Texas Patriot Militia Lonestar Unit","Militarized Social Movement",NA,NA,NA,NA,58,"orgs","militarized","Armed Militia Group"
"Texas Patriots Militia","Militarized Social Movement",NA,NA,NA,NA,58,"orgs","militarized","Armed Militia Group"
"Texas Republic Militia","Militarized Social Movement",NA,NA,NA,NA,58,"orgs","militarized","Armed Militia Group"
"Texas Reserve Militia","Militarized Social Movement",NA,NA,NA,NA,58,"orgs","militarized","Armed Militia Group"
"Texas Revolutionary Militia","Militarized Social Movement",NA,NA,NA,NA,58,"orgs","militarized","Armed Militia Group"
"Texas State Militia","Militarized Social Movement",NA,NA,NA,NA,58,"orgs","militarized","Armed Militia Group"
"The 'Bury Militia","Militarized Social Movement",NA,NA,NA,NA,58,"orgs","militarized","Armed Militia Group"
"The 32nd State Militia","Militarized Social Movement",NA,NA,NA,NA,59,"orgs","militarized","Armed Militia Group"
"The 4H Continental Militia","Militarized Social Movement",NA,NA,NA,NA,59,"orgs","militarized","Armed Militia Group"
"The 606th PA Militia","Militarized Social Movement",NA,NA,NA,NA,59,"orgs","militarized","Armed Militia Group"
"The American People's United Militia","Militarized Social Movement",NA,NA,NA,NA,59,"orgs","militarized","Armed Militia Group"
"The Asheville/Buncombe Tactical Response","Militarized Social Movement",NA,NA,NA,NA,59,"orgs","militarized","Armed Militia Group"
"The Black Fist Coalition","Militarized Social Movement",NA,NA,NA,NA,59,"orgs","militarized","Armed Militia Group"
"The Black MC Militia","Militarized Social Movement",NA,NA,NA,NA,59,"orgs","militarized",""
"The Christian Militia","Militarized Social Movement",NA,NA,NA,NA,59,"orgs","militarized","Armed Militia Group"
"The Civilian Guardsmen","Militarized Social Movement",NA,NA,NA,NA,59,"orgs","militarized","Armed Militia Group"
"The Fairbanks Wolfpack Militia","Militarized Social Movement",NA,NA,NA,NA,59,"orgs","militarized","Armed Militia Group"
"The Founding Fathers Militia","Militarized Social Movement",NA,NA,NA,NA,59,"orgs","militarized","Armed Militia Group"
"The Free People of Delaware's Militia","Militarized Social Movement",NA,NA,NA,NA,59,"orgs","militarized","Armed Militia Group"
"The Frontiersmen","Militarized Social Movement",NA,NA,NA,NA,59,"orgs","militarized","Armed Militia Group"
"The Hereford Militia","Militarized Social Movement",NA,NA,NA,NA,59,"orgs","militarized","Armed Militia Group"
"The IG Militia","Militarized Social Movement",NA,NA,NA,NA,59,"orgs","militarized","Armed Militia Group"
"The Kentucky Constitutional Rangers KCR","Militarized Social Movement",NA,NA,NA,NA,59,"orgs","militarized","Armed Militia Group"
"The Last Militia","Militarized Social Movement",NA,NA,NA,NA,59,"orgs","militarized","Includes all regional and local chapters"
"The Lawrence County Militia","Militarized Social Movement",NA,NA,NA,NA,59,"orgs","militarized",""
"The Loyal 9","Militarized Social Movement",NA,NA,NA,NA,59,"orgs","militarized","Armed Militia Group"
"The Militia Network","Militarized Social Movement",NA,NA,NA,NA,59,"orgs","militarized","Armed Militia Group"
"The Militia of Delmarva & the Eastern Shore","Militarized Social Movement",NA,NA,NA,NA,59,"orgs","militarized","Armed Militia Group"
"The Militia of New Mexico","Militarized Social Movement",NA,NA,NA,NA,59,"orgs","militarized","Armed Militia Group"
"The Minnesota Coalition of Defense Militias","Militarized Social Movement",NA,NA,NA,NA,59,"orgs","militarized","Armed Militia Group"
"The Mountaineer Militia","Militarized Social Movement",NA,NA,NA,NA,59,"orgs","militarized","Armed Militia Group"
"The NY MAGA Majority Militia","Militarized Social Movement",NA,NA,NA,NA,59,"orgs","militarized","Armed Militia Group"
"The New Black Liberation Militia","Militarized Social Movement",NA,NA,NA,NA,59,"orgs","militarized","Armed Militia Group"
"The Ohio Militiamen","Militarized Social Movement",NA,NA,NA,NA,59,"orgs","militarized","Ohio based MSM"
"The Ohiyo Aboriginal Autochthonous Peoples Militia","Militarized Social Movement",NA,NA,NA,NA,59,"orgs","militarized",""
"The Old North State Militia","Militarized Social Movement",NA,NA,NA,NA,59,"orgs","militarized","Armed Militia Group"
"The P.O.T.U.S.'s Deplorable Militia","Militarized Social Movement",NA,NA,NA,NA,59,"orgs","militarized","Armed Militia Group"
"The Palouse Militia","Militarized Social Movement",NA,NA,NA,NA,59,"orgs","militarized","Armed Militia Group"
"The Peoples' Militia","Militarized Social Movement",NA,NA,NA,NA,59,"orgs","militarized","Armed Militia Group"
"The Punisher's Republic","Militarized Social Movement",NA,NA,NA,NA,59,"orgs","militarized","Armed Militia Group"
"The Real Minnesota Militia","Militarized Social Movement",NA,NA,NA,NA,59,"orgs","militarized","Armed Militia Group"
"The Real Northeastern Indiana Volunteer Militia","Militarized Social Movement",NA,NA,NA,NA,59,"orgs","militarized","Armed Militia Group"
"The Real Southeast Michigan Volunteer Militia","Militarized Social Movement",NA,NA,NA,NA,59,"orgs","militarized","Armed Militia Group"
"The Rise","Militarized Social Movement",NA,NA,NA,NA,59,"orgs","militarized","Armed Militia Group"
"The Second Order of the Green Dragon","Militarized Social Movement",NA,NA,NA,NA,59,"orgs","militarized","Armed Militia Group"
"The Sheepdogs","Militarized Social Movement",NA,NA,NA,NA,59,"orgs","militarized","Armed Militia Group"
"The Southern Militia","Militarized Social Movement",NA,NA,NA,NA,59,"orgs","militarized","Armed Militia Group"
"The Texas Guard","Militarized Social Movement",NA,NA,NA,NA,59,"orgs","militarized","Armed Militia Group"
"The True American Militia","Militarized Social Movement",NA,NA,NA,NA,59,"orgs","militarized","Armed Militia Group"
"The Trump Militia","Militarized Social Movement",NA,NA,NA,NA,59,"orgs","militarized","Armed Militia Group"
"The Union Militia","Militarized Social Movement",NA,NA,NA,NA,59,"orgs","militarized","Armed Militia Group"
"The Unofficial Militia","Militarized Social Movement",NA,NA,NA,NA,59,"orgs","militarized",""
"The Upstate S.C. All Black Militia","Militarized Social Movement",NA,NA,NA,NA,60,"orgs","militarized","Armed Militia Group"
"The Valley Militia","Militarized Social Movement",NA,NA,NA,NA,60,"orgs","militarized","Armed Militia Group"
"The Veteran's Militia","Militarized Social Movement",NA,NA,NA,NA,60,"orgs","militarized","Armed Militia Group"
"The Virginia Militia","Militarized Social Movement",NA,NA,NA,NA,60,"orgs","militarized","Armed Militia Group"
"The Wolves Militia","Militarized Social Movement",NA,NA,NA,NA,60,"orgs","militarized","Armed Militia Group"
"This is Texas Freedom Force","Militarized Social Movement",NA,NA,NA,NA,60,"orgs","militarized",""
"Three Percent United Patriots","Militarized Social Movement",NA,NA,NA,NA,60,"orgs","militarized","Armed Militia Group"
"Three Percenters","Militarized Social Movement",NA,NA,NA,NA,60,"orgs","militarized","Armed Militia Group"
"Thurston County Militia","Militarized Social Movement",NA,NA,NA,NA,60,"orgs","militarized",""
"Tidewater Light Foot Militia","Militarized Social Movement",NA,NA,NA,NA,60,"orgs","militarized","Armed Militia Group"
"Tree Of Liberty","Militarized Social Movement",NA,NA,NA,NA,60,"orgs","militarized","Boog affiliated MSM organized armed capitol protests"
"Tri-State Militia Network","Militarized Social Movement",NA,NA,NA,NA,60,"orgs","militarized","Armed Militia Group"
"True American Patriot Militia","Militarized Social Movement",NA,NA,NA,NA,60,"orgs","militarized","Armed Militia Group"
"Trump's Militia","Militarized Social Movement",NA,NA,NA,NA,60,"orgs","militarized","Armed Militia Group"
"Trumps Tennessee Militia","Militarized Social Movement",NA,NA,NA,NA,60,"orgs","militarized",""
"Tyranny Unmasked Truth Militia","Militarized Social Movement",NA,NA,NA,NA,60,"orgs","militarized","Armed Militia Group"
"U.S. Christian Militia","Militarized Social Movement",NA,NA,NA,NA,60,"orgs","militarized","Armed Militia Group"
"U.S. Patriots Counter Terrorism Force","Militarized Social Movement",NA,NA,NA,NA,60,"orgs","militarized","self proclaimed, Q connection too"
"US Civilian Defense Network","Militarized Social Movement",NA,NA,NA,NA,60,"orgs","militarized",""
"US Freedom Force Militia","Militarized Social Movement",NA,NA,NA,NA,60,"orgs","militarized","Armed Militia Group"
"US Guardians","Militarized Social Movement",NA,NA,NA,NA,60,"orgs","militarized","Armed Militia Group"
"US Wolf Pack Militia","Militarized Social Movement",NA,NA,NA,NA,60,"orgs","militarized","Armed Militia Group"
"Ulster County Militia","Militarized Social Movement",NA,NA,NA,NA,60,"orgs","militarized",""
"Undivided Linn County Militia","Militarized Social Movement",NA,NA,NA,NA,60,"orgs","militarized","Armed Militia Group"
"United American Defense Force","Militarized Social Movement",NA,NA,NA,NA,60,"orgs","militarized","Armed Militia Group"
"United American Militia Advisory Council","Militarized Social Movement",NA,NA,NA,NA,60,"orgs","militarized","Armed Militia Group"
"United Constitutional Patriots","Militarized Social Movement",NA,NA,NA,NA,60,"orgs","militarized","Armed Militia Group"
"United Freedom Alliance Militia","Militarized Social Movement",NA,NA,NA,NA,60,"orgs","militarized","Armed Militia Group"
"United Guardsmen","Militarized Social Movement",NA,NA,NA,NA,60,"orgs","militarized","Includes all regional and local chapters"
"United Iowa Militia","Militarized Social Movement",NA,NA,NA,NA,60,"orgs","militarized","Armed Militia Group"
"United Militia","Militarized Social Movement",NA,NA,NA,NA,60,"orgs","militarized","Includes all regional and local chapters"
"United Militias of America","Militarized Social Movement",NA,NA,NA,NA,60,"orgs","militarized","Armed Militia Group"
"United Militias of California","Militarized Social Movement",NA,NA,NA,NA,60,"orgs","militarized","Armed Militia Group"
"United Northern Front of Minnesota","Militarized Social Movement",NA,NA,NA,NA,60,"orgs","militarized",""
"United Patriots Militia of America","Militarized Social Movement",NA,NA,NA,NA,60,"orgs","militarized","Armed Militia Group"
"United Patriots Prepping and Training","Militarized Social Movement",NA,NA,NA,NA,60,"orgs","militarized","Armed Militia Group"
"United Pharoah's Guard","Militarized Social Movement",NA,NA,NA,NA,60,"orgs","militarized","Armed Militia Group"
"United States Alabama People's Constitutional Militia","Militarized Social Movement",NA,NA,NA,NA,60,"orgs","militarized","Armed Militia Group"
"United States Anti-Socialist Constitutional Militia","Militarized Social Movement",NA,NA,NA,NA,60,"orgs","militarized","Armed Militia Group"
"United States Citizens Militia","Militarized Social Movement",NA,NA,NA,NA,60,"orgs","militarized","Armed Militia Group"
"United States Anti-Terrorism Militia","Militarized Social Movement",NA,NA,NA,NA,60,"orgs","militarized","Armed Militia Group"
"United States Defense Corps","Militarized Social Movement",NA,NA,NA,NA,60,"orgs","militarized","Armed Militia Group"
"United States Freedom Militia","Militarized Social Movement",NA,NA,NA,NA,60,"orgs","militarized","Armed Militia Group"
"United States Liberty Corps","Militarized Social Movement",NA,NA,NA,NA,60,"orgs","militarized","Armed Militia Group"
"United States Militia","Militarized Social Movement",NA,NA,NA,NA,60,"orgs","militarized","Armed Militia Group"
"United States Militia North Carolina","Militarized Social Movement",NA,NA,NA,NA,61,"orgs","militarized","Armed Militia Group"
"United States Militia Oklahoma","Militarized Social Movement",NA,NA,NA,NA,61,"orgs","militarized","Armed Militia Group"
"United We Stand Militia","Militarized Social Movement",NA,NA,NA,NA,61,"orgs","militarized","Armed Militia Group"
"Unorganized Militia","Militarized Social Movement",NA,NA,NA,NA,61,"orgs","militarized","Includes all regional and local chapters"
"Utah Citizens' Alarm","Militarized Social Movement",NA,NA,NA,NA,61,"orgs","militarized","Armed Militia Group"
"Utah Constitutional Militia","Militarized Social Movement",NA,NA,NA,NA,61,"orgs","militarized","Armed Militia Group"
"Vacaville Militia","Militarized Social Movement",NA,NA,NA,NA,61,"orgs","militarized","Armed Militia Group"
"Vermont State Militia","Militarized Social Movement",NA,NA,NA,NA,61,"orgs","militarized","Armed Militia Group"
"Veteran Militia","Militarized Social Movement",NA,NA,NA,NA,61,"orgs","militarized","Armed Militia Group"
"Veterans for Justice Militia","Militarized Social Movement",NA,NA,NA,NA,61,"orgs","militarized","Armed Militia Group"
"Virginia Confederate States Home Guard","Militarized Social Movement",NA,NA,NA,NA,61,"orgs","militarized","Armed Militia Group"
"Virginia Knights Group","Militarized Social Movement",NA,NA,NA,NA,61,"orgs","militarized","Armed Militia Group"
"Vox Populi Anonymous Militia of Michigan","Militarized Social Movement",NA,NA,NA,NA,61,"orgs","militarized","Armed Militia Group"
"W.V. Coal Region Militia","Militarized Social Movement",NA,NA,NA,NA,61,"orgs","militarized","Armed Militia Group"
"Walton County Militia","Militarized Social Movement",NA,NA,NA,NA,61,"orgs","militarized","Armed Militia Group"
"Warren County 2nd Battalion Militia","Militarized Social Movement",NA,NA,NA,NA,61,"orgs","militarized",""
"Warren County Militia","Militarized Social Movement",NA,NA,NA,NA,61,"orgs","militarized",""
"Washington State Militia","Militarized Social Movement",NA,NA,NA,NA,61,"orgs","militarized","Armed Militia Group"
"Washington's United Militia","Militarized Social Movement",NA,NA,NA,NA,61,"orgs","militarized","Armed Militia Group"
"Waupaca County Patriot Militia","Militarized Social Movement",NA,NA,NA,NA,61,"orgs","militarized","Armed Militia Group"
"Wayne County Militia and Freedom Fighters","Militarized Social Movement",NA,NA,NA,NA,61,"orgs","militarized",""
"Wayne County Sentinel Guard","Militarized Social Movement",NA,NA,NA,NA,61,"orgs","militarized","self proclaimed"
"Wayne Davis & The Butler County Militia","Militarized Social Movement",NA,NA,NA,NA,61,"orgs","militarized",""
"Well Regulated Htown Militia","Militarized Social Movement",NA,NA,NA,NA,61,"orgs","militarized","Armed Militia Group"
"Well Regulated Militia USA","Militarized Social Movement",NA,NA,NA,NA,61,"orgs","militarized",""
"Well-armed Progressives","Militarized Social Movement",NA,NA,NA,NA,61,"orgs","militarized","Armed Militia Group"
"West Coast Militia","Militarized Social Movement",NA,NA,NA,NA,61,"orgs","militarized","Armed Militia Group"
"West Michigan Guardians","Militarized Social Movement",NA,NA,NA,NA,61,"orgs","militarized","Armed Militia Group"
"West Rush Militia","Militarized Social Movement",NA,NA,NA,NA,61,"orgs","militarized","Armed Militia Group"
"West Seattle Militia","Militarized Social Movement",NA,NA,NA,NA,61,"orgs","militarized","Armed Militia Group"
"West Virginia 34 Mountain Militia","Militarized Social Movement",NA,NA,NA,NA,61,"orgs","militarized","Armed Militia Group"
"West Virginia Guardians","Militarized Social Movement",NA,NA,NA,NA,61,"orgs","militarized","Armed Militia Group"
"West Virginia Militia","Militarized Social Movement",NA,NA,NA,NA,61,"orgs","militarized","Armed Militia Group"
"Western Maryland Militia","Militarized Social Movement",NA,NA,NA,NA,61,"orgs","militarized","Armed Militia Group"
"Western Oklahoma Militia","Militarized Social Movement",NA,NA,NA,NA,61,"orgs","militarized","Armed Militia Group"
"Western Oklahoma's Militia of the People","Militarized Social Movement",NA,NA,NA,NA,61,"orgs","militarized","Armed Militia Group"
"Western Pennsylvania Civil Protection Militia","Militarized Social Movement",NA,NA,NA,NA,61,"orgs","militarized","Armed Militia Group"
"Western Pennsylvania Militia","Militarized Social Movement",NA,NA,NA,NA,61,"orgs","militarized","Armed Militia Group"
"Westmoreland County Militia","Militarized Social Movement",NA,NA,NA,NA,61,"orgs","militarized","Armed Militia Group"
"White Lives Matter A14 Militia","Militarized Social Movement",NA,NA,NA,NA,61,"orgs","militarized","Armed Militia Group"
"White Mountain Militia","Militarized Social Movement",NA,NA,NA,NA,61,"orgs","militarized","Armed Militia Group"
"White Mountain Minutemen","Militarized Social Movement",NA,NA,NA,NA,61,"orgs","militarized","Armed Militia Group"
"Wildcard Constitutional Militia","Militarized Social Movement",NA,NA,NA,NA,61,"orgs","militarized","Armed Militia Group"
"Windy Ridge Militia","Militarized Social Movement",NA,NA,NA,NA,61,"orgs","militarized","Armed Militia Group"
"Wirt County Militia","Militarized Social Movement",NA,NA,NA,NA,61,"orgs","militarized",""
"Wisconsin Defense Militia","Militarized Social Movement",NA,NA,NA,NA,62,"orgs","militarized","Armed Militia Group"
"Wisconsin Liberty Militia","Militarized Social Movement",NA,NA,NA,NA,62,"orgs","militarized","Armed Militia Group"
"Wisconsin Militia","Militarized Social Movement",NA,NA,NA,NA,62,"orgs","militarized","Armed Militia Group"
"Wisconsin Patriot Network Militia","Militarized Social Movement",NA,NA,NA,NA,62,"orgs","militarized","Armed Militia Group"
"Wolverine Watchmen","Militarized Social Movement",NA,NA,NA,NA,62,"orgs","militarized","Armed Militia Group"
"Woodland Wild Dogs","Militarized Social Movement",NA,NA,NA,NA,62,"orgs","militarized","self proclaimed"
"Woodleaf Militia","Militarized Social Movement",NA,NA,NA,NA,62,"orgs","militarized","Armed Militia Group"
"Wyoming Militia","Militarized Social Movement",NA,NA,NA,NA,62,"orgs","militarized","Armed Militia Group"
"YAL Coastal Militia","Militarized Social Movement",NA,NA,NA,NA,62,"orgs","militarized","Armed Militia Group"
"Yellow Jacket Militia","Militarized Social Movement",NA,NA,NA,NA,62,"orgs","militarized","Armed Militia Group"
"Yellowstone Militia","Militarized Social Movement",NA,NA,NA,NA,62,"orgs","militarized","Armed Militia Group"
"Yellowstone Militia Billings","Militarized Social Movement",NA,NA,NA,NA,62,"orgs","militarized","Armed Militia Group"
"Zevjinn Militia","Militarized Social Movement",NA,NA,NA,NA,62,"orgs","militarized","Armed Militia Group"
"the bowie county militia","Militarized Social Movement",NA,NA,NA,NA,62,"orgs","militarized",""
"Ajnad al Hasaka","Violent Non-State Actor","Middle East, North Africa",NA,NA,NA,63,"orgs","violent",NA
"Al Hamza Brigade","Violent Non-State Actor","South Asia",NA,NA,NA,63,"orgs","violent",NA
"Al Jabha Al Shamiya","Violent Non-State Actor","Middle East, North Africa",NA,NA,NA,63,"orgs","violent",NA
"Al-Mokhtar Brigades","Violent Non-State Actor","Middle East, North Africa",NA,NA,NA,63,"orgs","violent",NA
"Al-Rahman Brigade","Violent Non-State Actor","Middle East, North Africa",NA,NA,NA,63,"orgs","violent",NA
"Al-Safwa Islamic Battalions","Violent Non-State Actor","Middle East, North Africa",NA,NA,NA,63,"orgs","violent",NA
"Al-Tawhid Brigade","Violent Non-State Actor","Middle East, North Africa",NA,NA,NA,63,"orgs","violent",NA
"Ambazonia Defense Forces","Violent Non-State Actor","Sub Saharan Africa, Africa",NA,NA,NA,63,"orgs","violent",NA
"Anti-Balaka","Violent Non-State Actor","Africa",NA,NA,NA,63,"orgs","violent",NA
"Arakan Army","Violent Non-State Actor","Burmese, South Asia",NA,NA,NA,63,"orgs","violent",NA
"Arakan Rohingya Salvation Army","Violent Non-State Actor","South East Asia",NA,NA,NA,63,"orgs","violent",NA
